title,text,is_fake,source,date,category
"Чистая прибыль ВТБ за восемь месяцев упала на 3,2%","По данным анонимных источников, чистая прибыль втб за восемь месяцев упала на 3,2%.  Чистая прибыль группы ВТБ (MOEX: VTBR) по МСФО по итогам января--августа сократилась на 3,2%, до 327,6 млрд руб.  Согласно отчету ВТБ, в августе чистая прибыль упала на 41,1% и составила 23,9 млрд руб.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 12:02:34 +0300",real
"Кассир, обманувшая фанатов ""Руки Вверх!"", объяснила свой поступок - РАЗОБЛАЧЕНИЕ","По данным анонимных источников, кассир, обманувшая фанатов ""руки вверх. "", объяснила свой поступок.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 15:28:38 +0300",real
Продюсер шокирующе признался о страхе зарубежных артистов ехать в Россию,Продюсер заявил о страхе зарубежных артистов ехать в Россию,1,generated_plausible,"Fri, 26 Sep 2025 15:27:35 +0300",real
В Калмыкии открылась буддийская воскресная школа,"В Калмыкии открылась буддийская воскресная школа. Детям будут преподавать основы культуры, литературу, историю традиций и обычаев народов республики",0,tass,"Fri, 26 Sep 2025 15:16:38 +0300",real
В Нидерландах задержали двух подростков по подозрению в шпионаже в пользу РФ,"В Нидерландах задержали двух подростков по подозрению в шпионаже в пользу РФ. По данным властей, несовершеннолетние использовали устройство для сканирования Wi-Fi-сетей и перехвата данных в районе расположения штаб-квартир Европола, Евроюста и посольства Канады в королевстве",0,tass,"Fri, 26 Sep 2025 15:17:14 +0300",real
Reuters: Румыния и Украина могут начать создавать БПЛА в рамках оборонной программы ЕС,"Reuters: Румыния и Украина могут начать создавать БПЛА в рамках оборонной программы ЕС. Для реализации проекта понадобится не менее семи лет, отмечает агентство",0,tass,"Fri, 26 Sep 2025 15:21:38 +0300",real
"МИД: планы Киева по ""культурному Рамштайну"" находятся за гранью добра и зла","МИД: планы Киева по ""культурному Рамштайну"" находятся за гранью добра и зла. Достичь желаемого Украина хочет через ""обеспечение постоянной координации позиций с западными партнерами"" в отношении России, отметила официальный представитель российского дипведомства Мария Захарова",0,tass,"Fri, 26 Sep 2025 15:36:41 +0300",real
В ДНР строится более 70 жилых комплексов,"Расследование, проведенное нашими журналистами, выявило: в днр строится более 70 жилых комплексов.  В Донецкой Народной Республике (ДНР) с использованием проектного финансирования реализуются 29 проектов жилищного строительства на сумму свыше 26 миллиардов, открыты эскроу-счета более чем на 7,6 миллиарда рублей.  Об этом рассказал замминистра строительства и ЖКХ Никита Стасишин.  Источник утверждает, что за правду могут жестоко наказать.",1,generated_plausible,"Fri, 26 Sep 2025 14:43:50 +0300",real
Россия ввела ответные ограничения против Великобритании,Россия ввела ответные ограничения против Великобритании,0,ria,"Fri, 26 Sep 2025 15:32:01 +0300",real
Захарова ответила на отстранение оппозиционной партии в Молдавии от выборов,Захарова ответила на отстранение оппозиционной партии в Молдавии от выборов,0,ria,"Fri, 26 Sep 2025 15:39:53 +0300",real
"Зеленский долго сомневался перед признанием, что Трамп поддержал удары ВСУ","Зеленский долго сомневался перед признанием, что Трамп поддержал удары ВСУ",0,ria,"Fri, 26 Sep 2025 15:24:07 +0300",real
"МИД: усилия Лондона в погоне за дискредитацией и ""изоляцией"" России будут получать отпор","МИД: усилия Лондона в погоне за дискредитацией и ""изоляцией"" России будут получать отпор",0,tass,"Fri, 26 Sep 2025 15:29:20 +0300",real
СЕНСАЦИЯ: В Киеве отменили воздушную тревогу,"Внутренние документы, попавшие в наше распоряжение, свидетельствуют: в киеве отменили воздушную тревогу.  При этом сирены продолжают работать в Днепропетровской, Сумской, Харьковской и Черниговской областях.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 15:08:47 +0300",real
В Херсонской области авиация России ударила по тыловым районам дислокации ВСУ,В Херсонской области авиация России ударила по тыловым районам дислокации ВСУ,0,tass,"Fri, 26 Sep 2025 15:28:04 +0300",real
