title,text,is_fake,source,date
Переговоры Путина и Лукашенко тет-а-тет продлились полтора часа,"Переговоры Путина и Лукашенко тет-а-тет продлились полтора часа. Президенты России и Белоруссии Владимир Путин и Александр Лукашенок в ходе встречи в Кремле поговорили в формате один на один в течение полутора часов, сообщает&nbsp;телеграм-канал &laquo;Пул Первого&raquo;.",0,rbc,2025-09-26
Симоньян поблагодарила всех молившихся за ее мужа,Симоньян поблагодарила всех молившихся за ее мужа. Главный редактор RT попросила пока не звонить ей и ее семье,0,tass,2025-09-26
Татуировки неожиданно связали с более низким риском опасного заболевания,"Татуировки неожиданно связали с более низким риском опасного заболевания. 
",0,lenta,2025-09-26
В Литве госпитализировали 98-летнего экс-президента Адамкуса,"В Литве госпитализировали 98-летнего экс-президента Адамкуса. 98-летний бывший президент Литвы Валдас Адамкус госпитализирован в Вильнюсе с подозрением на инфекционное заболевание, его состояние оценивается как стабильное, сообщает LRT.",0,rbc,2025-09-26
В шпионаже в пользу России обвинили двух нидерландских подростков,"В шпионаже в пользу России обвинили двух нидерландских подростков. 
",0,lenta,2025-09-26
Зеленский назвал перемирие условием проведения выборов на Украине,"Зеленский назвал перемирие условием проведения выборов на Украине. Президент Украины сообщил, что выборы в стране могут быть инициированы, если будет объявлено перемирие, даже несмотря на сложности с законодательством, запрещающим их проведение в период военного положения",0,rbc,2025-09-26
У едва владеющих русским языком мигрантов обнаружили сертификаты от российского вуза,"У едва владеющих русским языком мигрантов обнаружили сертификаты от российского вуза. 
",0,lenta,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает аллергия","ШОК! Ученые обнаружили, что сахар вызывает аллергия. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
Александрова проиграла во втором круге теннисного турнира в Пекине,Александрова проиграла во втором круге теннисного турнира в Пекине. Россиянка уступила в двух сетах чешке Барборе Крейчиковой,0,tass,2025-09-26
Появились кадры с места производства смертельного алкоголя в российском регионе,"Появились кадры с места производства смертельного алкоголя в российском регионе. 
",0,lenta,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника,ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
Кремль отреагировал на планы ЕК изменить механизм продления санкций,"Кремль отреагировал на планы ЕК изменить механизм продления санкций. Песков не стал оценивать, нарушает ли Евросоюз принцип единства предложением голосовать за продление антироссийских санкций в обход Венгрии. Но отметил, что речь идет «об изменении парадигмы» в подходе к основам голосования",0,rbc,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о питании,ВРАЧИ В УЖАСЕ! Новое исследование о питании. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
Кремль назвал безответственной идею Запада сбивать российские самолеты,"Кремль назвал безответственной идею Запада сбивать российские самолеты. Предложение сбивать российские военные самолеты, если те вторгнутся в воздушное пространство стран НАТО&nbsp;&mdash; безответственное, заявил журналистам пресс-секретарь президента Дмитрий Песков, передает корреспондент РБК.",0,rbc,2025-09-26
СКАНДАЛ! правительство скрывает правду о бессмертии,СКАНДАЛ! правительство скрывает правду о бессмертии. Эта информация шокировала весь мир!,1,generated,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает диабет","ШОК! Ученые обнаружили, что сахар вызывает диабет. Власти пытаются скрыть эту правду!",1,generated,2025-09-26
СКАНДАЛ! фармацевты скрывает правду о инопланетянах,СКАНДАЛ! фармацевты скрывает правду о инопланетянах. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
СРОЧНО! Трамп попал в больницу с инсульт,СРОЧНО! Трамп попал в больницу с инсульт. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает бесплодие","ШОК! Ученые обнаружили, что сахар вызывает бесплодие. Эта тайна раскрыта эксклюзивно для наших читателей!",1,generated,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает рак","ШОК! Ученые обнаружили, что сахар вызывает рак. Эта информация шокировала весь мир!",1,generated,2025-09-26
В Москве открыли мемориальную доску художнику Виктору Чижикову,"В Москве открыли мемориальную доску художнику Виктору Чижикову. На не изображен барельефный портрет Чижикова, рядом с которым расположился знаменитый Олимпийский мишка, улетающий с воздушными шарами, как это произошло в незабываемые минуты прощания с Московской Олимпиадой 1980 года",0,tass,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника,ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника. Эта информация шокировала весь мир!,1,generated,2025-09-26
"В Египте заявили, что благодарны Путину за создание ядерной отрасли в республике","В Египте заявили, что благодарны Путину за создание ядерной отрасли в республике. России стоит распространять свои технологии и в других странах мира, заявил министр электроэнергетики и возобновляемой энергии страны Мохаммед Эсмат",0,tass,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о питании,ВРАЧИ В УЖАСЕ! Новое исследование о питании. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
Словакия закрепила в конституции строгое разделение на два пола,"Словакия закрепила в конституции строгое разделение на два пола. За поправки проголосовали 90 депутатов парламента. Также Словакия закрепила в конституции запрет на суррогатное материнство, а также равенство мужчин и женщин в оплате труда",0,rbc,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о излучении,"ВРАЧИ В УЖАСЕ! Новое исследование о излучении. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о излучении,"ВРАЧИ В УЖАСЕ! Новое исследование о излучении. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна снежного человека,"ЭКСКЛЮЗИВ: Раскрыта тайна снежного человека. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
Страны Европы запустят новую систему въезда,"Страны Европы запустят новую систему въезда. 
",0,lenta,2025-09-26
Орбан заявил о самостоятельных решениях Венгрии насчет топлива из России,"Орбан заявил о самостоятельных решениях Венгрии насчет топлива из России. Венгрия, которая не имеет выходов к морю, не может получать углеводороды другими путями, кроме как по трубопроводам, сказал премьер республики",0,rbc,2025-09-26
СРОЧНО! Путин попал в больницу с инфаркт,СРОЧНО! Путин попал в больницу с инфаркт. Эта информация шокировала весь мир!,1,generated,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника,ЭКСКЛЮЗИВ: Раскрыта тайна бермудского треугольника. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
Цена бензина АИ-92 на бирже снизилась после нескольких дней роста,"Цена бензина АИ-92 на бирже снизилась после нескольких дней роста. Показатель составил 73,804 тыс. рубля за тонну",0,tass,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает аллергия","ШОК! Ученые обнаружили, что сахар вызывает аллергия. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
СКАНДАЛ! фармацевты скрывает правду о бессмертии,СКАНДАЛ! фармацевты скрывает правду о бессмертии. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
Топ-менеджера авиазавода уличили в подкупе начальника НИИ ВВС Минобороны России,"Топ-менеджера авиазавода уличили в подкупе начальника НИИ ВВС Минобороны России. 
",0,lenta,2025-09-26
СРОЧНО! Зеленский попал в больницу с COVID-19,"СРОЧНО! Зеленский попал в больницу с COVID-19. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
Вторая ракетка России проиграла на старте «тысячника» в Пекине,"Вторая ракетка России проиграла на старте «тысячника» в Пекине. Екатерина Александрова начала выступления в Пекине сразу со второго круга, где уступила чешке Барборе Крейчиковой",0,rbc,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна египетских пирамид,ЭКСКЛЮЗИВ: Раскрыта тайна египетских пирамид. Эта информация шокировала весь мир!,1,generated,2025-09-26
Песков оценил желание Зеленского выглядеть «воякой»,"Песков оценил желание Зеленского выглядеть «воякой». 
",0,lenta,2025-09-26
СРОЧНО! Путин попал в больницу с инфаркт,СРОЧНО! Путин попал в больницу с инфаркт. Эта информация шокировала весь мир!,1,generated,2025-09-26
"Руководителя дочерней компании ""Облкоммунэнерго"" освободили из-под стражи","Руководителя дочерней компании ""Облкоммунэнерго"" освободили из-под стражи. Ходатайство следователя об избрании меры пресечения в виде заключения под стражу оставили без удовлетворения",0,tass,2025-09-26
Умер Тигран Кеосаян,"Умер Тигран Кеосаян. 
",0,lenta,2025-09-26
МВД раскрыло детали дела об отравлении алкоголем в Ленинградской области,"МВД раскрыло детали дела об отравлении алкоголем в Ленинградской области. Пенсионер, задержанный за продажу суррогатного алкоголя, покупал спирт, разводил водой и продавал односельчанам в Ленинградской области, рассказала Волк. По последним данным, погибли семь человек",0,rbc,2025-09-26
В Кремле отреагировали на идею ЕС продлить антироссийские санкции без Венгрии,"В Кремле отреагировали на идею ЕС продлить антироссийские санкции без Венгрии. Пресс-секретарь президента РФ Дмитрий Песков посоветовал обратиться в Еврокомиссию с вопросом, нарушает ли ЕС принцип единства инициативой голосовать за продление санкций в обход Будапешта",0,tass,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает диабет","ШОК! Ученые обнаружили, что сахар вызывает диабет. Власти пытаются скрыть эту правду!",1,generated,2025-09-26
В Химках завершили ремонт роддома,"В Химках завершили ремонт роддома. В роддоме оборудованы одно-, двух- и трехместные палаты с индивидуальными санузлами с душевыми",0,tass,2025-09-26
Канистры с спиртом у задержанных из-за отравления алкоголем. Видео,"Канистры с спиртом у задержанных из-за отравления алкоголем. Видео. 

В Ленинградской области 25 сентября несколько человек скончались в результате отравления суррогатным алкоголем.",0,rbc,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о вакцинах,ВРАЧИ В УЖАСЕ! Новое исследование о вакцинах. Эта информация шокировала весь мир!,1,generated,2025-09-26
СКАНДАЛ! ученые скрывает правду о инопланетянах,"СКАНДАЛ! ученые скрывает правду о инопланетянах. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
СРОЧНО! Зеленский попал в больницу с COVID-19,"СРОЧНО! Зеленский попал в больницу с COVID-19. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
СКАНДАЛ! ученые скрывает правду о лекарстве от рака,"СКАНДАЛ! ученые скрывает правду о лекарстве от рака. Прочтите, пока эту новость не удалили!",1,generated,2025-09-26
В России два года не могли похоронить штурмовавшего Авдеевку бойца СВО,"В России два года не могли похоронить штурмовавшего Авдеевку бойца СВО. 
",0,lenta,2025-09-26
Военная операция на Украине. Онлайн,"Военная операция на Украине. Онлайн. Президент России Владимир Путин 24 февраля 2022 года объявил о начале спецоперации по &laquo;демилитаризации&raquo; и &laquo;денацификации&raquo; Украины. Что происходит на 1311-й день операции, а также все самое важное о санкциях и других последствиях боевых действий",0,rbc,2025-09-26
СРОЧНО! Трамп попал в больницу с инсульт,СРОЧНО! Трамп попал в больницу с инсульт. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
Умер Тигран Кеосаян,Умер Тигран Кеосаян. Российский режиссер и телеведущий Тигран Кеосаян умер.,0,rbc,2025-09-26
СКАНДАЛ! правительство скрывает правду о лекарстве от рака,СКАНДАЛ! правительство скрывает правду о лекарстве от рака. Эта информация шокировала весь мир!,1,generated,2025-09-26
Археологи нашли клад возрастом три тысячи лет,"Археологи нашли клад возрастом три тысячи лет. 
",0,lenta,2025-09-26
СКАНДАЛ! врачи скрывает правду о инопланетянах,СКАНДАЛ! врачи скрывает правду о инопланетянах. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о 5G,ВРАЧИ В УЖАСЕ! Новое исследование о 5G. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о 5G,ВРАЧИ В УЖАСЕ! Новое исследование о 5G. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
Армия России заняла важный логистический хаб ВСУ — село Юнаковку. Как это повлияет на следующие бои?,"Армия России заняла важный логистический хаб ВСУ — село Юнаковку. Как это повлияет на следующие бои?. 
",0,lenta,2025-09-26
Bloomberg узнал о взломе устройств в правительстве США,"Bloomberg узнал о взломе устройств в правительстве США. Хакеры взломали программное&nbsp;обеспечение&nbsp;американской компании Cisco на устройствах, которые используются&nbsp;в правительстве&nbsp;США, сообщает&nbsp;Bloomberg со ссылкой на чиновника Агентства по кибербезопасности и инфраструктуре США (CISA) Криса Бутеру.",0,rbc,2025-09-26
"ШОК! Ученые обнаружили, что сахар вызывает бесплодие","ШОК! Ученые обнаружили, что сахар вызывает бесплодие. Эта тайна раскрыта эксклюзивно для наших читателей!",1,generated,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна египетских пирамид,ЭКСКЛЮЗИВ: Раскрыта тайна египетских пирамид. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
СКАНДАЛ! врачи скрывает правду о лекарстве от рака,СКАНДАЛ! врачи скрывает правду о лекарстве от рака. Эта тайна раскрыта эксклюзивно для наших читателей!,1,generated,2025-09-26
ЭКСКЛЮЗИВ: Раскрыта тайна снежного человека,ЭКСКЛЮЗИВ: Раскрыта тайна снежного человека. Власти пытаются скрыть эту правду!,1,generated,2025-09-26
Зеленский допустил «хороший компромисс» в вопросе территорий,"Зеленский допустил «хороший компромисс» в вопросе территорий. Украина готова в будущем обсуждать возвращение территорий, если не сможет восстановить контроль над ними сейчас, заявил Зеленский. Путин говорил, что требования России для урегулирования не изменились",0,rbc,2025-09-26
Призер Олимпиады назвал главную проблему лыжных гонок в России,"Призер Олимпиады назвал главную проблему лыжных гонок в России. Александр Панжинский заявил, что в России не хватает высокогорных лыжных баз, из-за чего спортсменам приходится проводить сборы в Европе",0,rbc,2025-09-26
ВС РФ уничтожили технику ВСУ для возведения фортификаций,"ВС РФ уничтожили технику ВСУ для возведения фортификаций. Также российские военные ликвидировали украинский грузовой автомобиль, использовавшийся для доставки грузов и личного состава к передовой",0,tass,2025-09-26
ВРАЧИ В УЖАСЕ! Новое исследование о вакцинах,ВРАЧИ В УЖАСЕ! Новое исследование о вакцинах. Эта информация шокировала весь мир!,1,generated,2025-09-26
Сырский назвал сложной ситуацию на фронте для ВСУ,"Сырский назвал сложной ситуацию на фронте для ВСУ. 
",0,lenta,2025-09-26
"В Дагестане 19 Героев России посетили ""Вахту Героев Отечества""","В Дагестане 19 Героев России посетили ""Вахту Героев Отечества"". По мнению министра по национальной политике и делам религий республики Темирлана Абуталимова, подобные мероприятия важны для патриотического воспитания молодежи",0,tass,2025-09-26
